species,sex,subfamily,habitat,foraging_stratum,avg_span,volume,avg_brill,avg_chroma,avg_sex_dich
Hemispingus_superciliaris,Male,Poospizinae,F,C,0.074324663,2.54e-5,0.185934062,0.133596193,0.014
Hemispingus_trifasciatus,Female,Poospizinae,F,C,0.069413591,1.75e-5,0.163392258,0.156036733,0.009
Hemispingus_trifasciatus,Male,Poospizinae,F,C,0.069137573,2.1e-5,0.162179386,0.152125315,0.009
Hemispingus_verticalis,Female,Poospizinae,F,C,0.037721886,2.62e-6,0.156475688,0.078948152,0.006
Hemispingus_verticalis,Male,Poospizinae,F,C,0.037855623,2.51e-6,0.147239423,0.078923649,0.006
Hemispingus_xanthophthalmus,Female,Poospizinae,F,C,0.0265406,1.29e-6,0.200042515,0.101741344,0.007
Hemispingus_xanthophthalmus,Male,Poospizinae,F,C,0.029690873,1.81e-6,0.203938011,0.097408432,0.007
Heterospingus_rubrifrons,Female,Hemithraupinae,F,U/C,0.073696542,1.65e-5,0.185753285,0.081820604,0.025
Heterospingus_rubrifrons,Male,Hemithraupinae,F,U/C,0.087684445,2.68e-5,0.191618218,0.084991454,0.025
Heterospingus_xanthopygius,Female,Hemithraupinae,F,C,0.071480216,5.97e-5,0.109055495,0.097843478,0.082
